Id;Designator;Package;Quantity;Designation;Manufacturer;Manufacturer ID;Mouser ID;Digikey ID
1;IC1;TQFP32;1;AT90USB162-A;Atmel;AT90USB162-16AU;556-A90USB162-16AU;AT90USB162-16AU-ND
2;SW2,SW1;SW_PUSH_SMALL;2;SW_PUSH;TE Connectivity;FSM4JH;506-FSM4JH;450-1650-ND
3;R1,R3;SM1206;2;10K;ROHM Semiconductor;ESR18EZPF1002;755-ESR18EZPF1002;RHM10.0KAFTR-ND
4;R2,R4;SM1206;2;430;Yageo;RC1206JR-07430RL;603-RC1206JR-07430RL;311-430ERCT-ND
5;C2,C1;SM0805;2;22pF;Wurth Electronics;8.85012E+11;710-885012007012;732-7816-1-ND
6;D1,D2;SM0805;2;LED;Kingbright;AP2012EC;604-AP2012EC;AP2012EC-ND
7;C6,C3;SM0805;2;0.1uF;Yageo;CC0805ZRY5V9BB104;603-CC805ZRY5V9BB104;311-1361-1-ND
8;C4;SM0805;1;1uF;Vishay / Vitramon;VJ0805Y105KXQTW1BC;77-VJ0805Y105KXQTBC;490-1691-1-ND
9;P2;pin_array_3x2;1;CONN_3X2;Sullins Connector Solutions;PPTC032LFBN-RC;571-215309-3;
10;U2   NRF24L01;Nrf24l01;1;NRF24L01;NRF24L01;Nordic Semiconductor;http://amzn.com/B00O9O868G;
11;X1;crystals;1;16MHz;ECS Inc.;ECS-160-20-5PX-TR;520-CSM1600-20-X;XC1282CT-ND
12;C5;c_elec_6.3x5.3;1;10uF;Wurth Electronics Inc;8.75E+11;710-875105240001;732-6401-1-ND
